ticker,ID_ISIN,name,GICS_SECTOR_NAME,weight,shares,price,snapshot_date,ticker_bb
FER SQ Equity,NL0015001FS8,Ferrovial SE,Industrials,0.0032364900000000003,509.210283,28.97,2023-09-29,FER SQ
ACA FP Equity,FR0000045072,Credit Agricole SA,Financials,0.0031047999999999996,1210.36094,11.692,2023-09-29,ACA FP
HO FP Equity,FR0000121329,Thales SA,Industrials,0.0030692399999999996,105.10507,133.1,2023-09-29,HO FP
NESTE FH Equity,FI0009013296,Neste Oyj,Energy,0.00298228,423.066082,32.13,2023-09-29,NESTE FH
KNEBV FH Equity,FI0009013403,Kone Oyj,Industrials,0.00297686,339.890361,39.92,2023-09-29,KNEBV FH
SHL GY Equity,DE000SHL1006,Siemens Healthineers AG,Health Care,0.0029697499999999997,282.0,48.0,2023-09-29,SHL GY
KYGA ID Equity,IE0004906560,Kerry Group PLC,Consumer Staples,0.00276887,159.388705,79.18,2023-09-29,KYGA ID
HNR1 GY Equity,DE0008402215,Hannover Rueck SE,Financials,0.00275037,60.298567,207.9,2023-09-29,HNR1 GY
FRE GY Equity,DE0005785604,Fresenius SE & Co KGaA,Health Care,0.0027303300000000004,422.427958,29.46,2023-09-29,FRE GY
EDP PL Equity,PTEDP0AM0009,EDP SA,Utilities,0.0027098100000000004,3138.016218,3.936,2023-09-29,EDP PL
BEI GY Equity,DE0005200000,Beiersdorf AG,Consumer Staples,0.00270136,100.8,122.15,2023-09-29,BEI GY
CCEP UW Equity,GB00BDCPN049,Coca-Cola Europacific Partners PLC,Consumer Staples,0.00267575,206.480786,62.48,2023-09-29,CCEP UW
MT NA Equity,LU1598757687,ArcelorMittal SA,Materials,0.00266903,511.685863,23.775,2023-09-29,MT NA
SY1 GY Equity,DE000SYM9999,Symrise AG,Materials,0.00263122,132.783451,90.32,2023-09-29,SY1 GY
1CNHI IM Equity,NL0010545661,CNH Industrial NV,Industrials,0.0025908199999999998,1023.300147,11.54,2023-09-29,1CNHI IM
AKZA NA Equity,NL0013267909,Akzo Nobel NV,Materials,0.0025629999999999997,170.590859,68.48,2023-09-29,AKZA NA
CBK GY Equity,DE000CBK1001,Commerzbank AG,Financials,0.0025199899999999997,1064.503989,10.79,2023-09-29,CBK GY
HEN3 GY Equity,DE0006048432,Henkel AG & Co KGaA,Consumer Staples,0.00250505,169.254731,67.46,2023-09-29,HEN3 GY
MONC IM Equity,IT0004965148,Moncler SpA,Consumer Discretionary,0.00248902,205.970755,55.08,2023-09-29,MONC IM
EBS AV Equity,AT0000652011,Erste Group Bank AG,Financials,0.00247585,343.84,32.82,2023-09-29,EBS AV
KSP ID Equity,IE0004927939,Kingspan Group PLC,Industrials,0.0024076,154.646904,70.96,2023-09-29,KSP ID
BNR GY Equity,DE000A1DAHH0,Brenntag SE,Industrials,0.00236619,146.775,73.48,2023-09-29,BNR GY
AENA SQ Equity,ES0105046009,Aena SME SA,Industrials,0.00234644,75.0,142.6,2023-09-29,AENA SQ
HEI GY Equity,DE0006047004,Heidelberg Materials AG,Materials,0.00233593,144.818925,73.52,2023-09-29,HEI GY
RHM GY Equity,DE0007030009,Rheinmetall AG,Industrials,0.00233087,43.55885,243.9,2023-09-29,RHM GY
AER UN Equity,NL0000687663,AerCap Holdings NV,Industrials,0.00226915,174.573365,62.67,2023-09-29,AER UN
P911 GY Equity,DE000PAG9113,Dr Ing hc F Porsche AG,Consumer Discretionary,0.00222355,113.875,89.0,2023-09-29,P911 GY
KPN NA Equity,NL0000009082,Koninklijke KPN NV,Communication Services,0.00221018,3229.855674,3.119,2023-09-29,KPN NA
TRN IM Equity,IT0003242622,Terna - Rete Elettrica Nazionale,Utilities,0.0022003400000000003,1406.9944,7.128,2023-09-29,TRN IM
PRY IM Equity,IT0004176001,Prysmian SpA,Industrials,0.00219808,262.614919,38.15,2023-09-29,PRY IM
1COV GY Equity,DE0006062144,Covestro AG,Materials,0.0021643,193.2,51.06,2023-09-29,1COV GY
BIRG ID Equity,IE00BD1RP616,Bank of Ireland Group PLC,Financials,0.00215363,1056.636305,9.29,2023-09-29,BIRG ID
UCB BB Equity,BE0003739530,UCB SA,Health Care,0.0021508,126.428678,77.54,2023-09-29,UCB BB
CA FP Equity,FR0000120172,Carrefour SA,Consumer Staples,0.00213478,597.496957,16.285,2023-09-29,CA FP
HEIO NA Equity,NL0000008977,Heineken Holding NV,Consumer Staples,0.00203038,129.613576,71.4,2023-09-29,HEIO NA
MTX GY Equity,DE000A0D9PT0,MTU Aero Engines AG,Industrials,0.00202818,53.824489,171.75,2023-09-29,MTX GY
EXO NA Equity,NL0012059018,EXOR NV,Financials,0.00199723,108.45,83.94,2023-09-29,EXO NA
SRG IM Equity,IT0003153415,Snam SpA,Utilities,0.00196831,2016.514685,4.449,2023-09-29,SRG IM
QIA GY Equity,NL0015002CX3,QIAGEN NV,Health Care,0.00191465,228.035,38.27,2023-09-29,QIA GY
SW FP Equity,FR0000121220,Sodexo SA,Consumer Discretionary,0.00189292,88.472932,97.52,2023-09-29,SW FP
SRT3 GY Equity,DE0007165631,Sartorius AG,Health Care,0.00185033,26.208,321.8,2023-09-29,SRT3 GY
FME GY Equity,DE0005785802,Fresenius Medical Care AG,Health Care,0.00184032,205.389414,40.84,2023-09-29,FME GY
SKG ID Equity,IE00B1RR8406,Smurfit Kappa Group PLC,Materials,0.0018013100000000002,260.149162,31.56,2023-09-29,SKG ID
SOLB BB Equity,BE0003470755,Solvay SA,Materials,0.00170488,74.113491,104.85,2023-09-29,SOLB BB
AGN NA Equity,BMG0112X1056,Aegon Ltd,Financials,0.0016964399999999998,1687.544183,4.582,2023-09-29,AGN NA
NN NA Equity,NL0010773842,NN Group NV,Financials,0.00167461,250.75,30.44,2023-09-29,NN NA
RNO FP Equity,FR0000131906,Renault SA,Consumer Discretionary,0.00163945,192.219485,38.875,2023-09-29,RNO FP
ACS SQ Equity,ES0167050915,ACS Actividades de Construccion y Servicios SA,Industrials,0.0016374,219.054618,34.07,2023-09-29,ACS SQ
