ticker,ID_ISIN,name,GICS_SECTOR_NAME,weight,shares,price,snapshot_date,ticker_bb,ticker_base,ticker_alt,merge_key,esg_score_raw,sector_pct_rank,in_esg_universe
RWE GY Equity,DE0007037129,RWE AG,Utilities,0.00522502,632.265034,39.87,2023-06-30,RWE GY,RWE GY,RWE GR,RWE GR,10.00715852,0.9473684210526315,False
HEIA NA Equity,NL0000009165,Heineken NV,Consumer Staples,0.00505985,259.201176,94.18,2023-06-30,HEIA NA,HEIA NA,HEIA NA,HEIA NA,9.141340314,0.8125,False
LR FP Equity,FR0010307819,Legrand SA,Industrials,0.0050216099999999,266.817746,90.8,2023-06-30,LR FP,LR FP,LR FP,LR FP,12.35084174,0.2702702702702703,True
CLNX SQ Equity,ES0105066007,Cellnex Telecom SA,Communication Services,0.00433325,565.1803,36.99,2023-06-30,CLNX SQ,CLNX SQ,CLNX SM,CLNX SM,11.71202674,0.15384615384615385,True
NOKIA FH Equity,FI0009000681,Nokia Oyj,Information Technology,0.00425376,5350.682697,3.8355,2023-06-30,NOKIA FH,NOKIA FH,NOKIA FH,NOKIA FH,10.61321413,0.8,False
ORA FP Equity,FR0000133308,Orange SA,Communication Services,0.00413044,1862.039619,10.702,2023-06-30,ORA FP,ORA FP,ORA FP,ORA FP,9.150305384,0.9230769230769231,False
ARGX BB Equity,NL0010832176,Argenx SE,Health Care,0.00410151,55.678108,355.4,2023-06-30,ARGX BB,ARGX BB,ARGX BB,ARGX BB,13.03093633,0.2857142857142857,True
VIE FP Equity,FR0000124141,Veolia Environnement SA,Utilities,0.00407344,678.845649,28.95,2023-06-30,VIE FP,VIE FP,VIE FP,VIE FP,11.63552037,0.47368421052631576,False
MRK GY Equity,DE0006599905,Merck KGaA,Health Care,0.00405978,129.242252,151.55,2023-06-30,MRK GY,MRK GY,MRK GR,MRK GR,14.85500868,0.09523809523809523,True
TEF SQ Equity,ES0178430E18,Telefonica SA,Communication Services,0.00400341,5197.713799,3.716,2023-06-30,TEF SQ,TEF SQ,TEF SM,TEF SM,10.39840364,0.46153846153846156,False
