ticker,ID_ISIN,name,GICS_SECTOR_NAME,weight,shares,price,snapshot_date,ticker_bb,ticker_base,ticker_alt,merge_key,esg_score_raw
BEI GY Equity,DE0005200000,Beiersdorf AG,Consumer Staples,0.00252651,100.8,106.65,2019-12-31,BEI GY,BEI GY,BEI GR,BEI GR,8.794176643
CCEP UN Equity,GB00BDCPN049,Coca-Cola Europacific Partners PLC,Consumer Staples,0.00246328,231.317542,50.88,2019-12-31,CCEP UN,CCEP UN,CCEP UN,CCEP UN,
MT NA Equity,LU1598757687,ArcelorMittal SA,Materials,0.00244183,664.237356,15.642,2019-12-31,MT NA,MT NA,MT NA,MT NA,7.211210813
HNR1 GY Equity,DE0008402215,Hannover Rueck SE,Financials,0.0024416999999999,60.298567,172.3,2019-12-31,HNR1 GY,HNR1 GY,HNR1 GR,HNR1 GR,10.14199007
NN NA Equity,NL0010773842,NN Group NV,Financials,0.00243229,306.015237,33.82,2019-12-31,NN NA,NN NA,NN NA,NN NA,11.82814081
ATL IM Equity,IT0003506190,Mundys SpA,Industrials,0.00242087,495.470394,20.79,2019-12-31,ATL IM,ATL IM,ATL IM,ATL IM,17.73809524
PAH3 GY Equity,DE000PAH0038,Porsche Automobil Holding SE,Consumer Discretionary,0.00239817,153.125,66.64,2019-12-31,PAH3 GY,PAH3 GY,PAH3 GR,PAH3 GR,7.825617014
EBS AV Equity,AT0000652011,Erste Group Bank AG,Financials,0.00237293,300.86,33.56,2019-12-31,EBS AV,EBS AV,EBS AV,EBS AV,10.59439338
CABK SQ Equity,ES0140609019,CaixaBank SA,Financials,0.00235996,3588.862819,2.798,2019-12-31,CABK SQ,CABK SQ,CABK SM,CABK SM,10.72810217
HEIO NA Equity,NL0000008977,Heineken Holding NV,Consumer Staples,0.00233944,115.212067,86.4,2019-12-31,HEIO NA,HEIO NA,HEIO NA,HEIO NA,
1CNHI IM Equity,NL0010545661,CNH Industrial NV,Industrials,0.00233102,1013.125652,9.79,2019-12-31,1CNHI IM,1CNHI IM,1CNHI IM,1CNHI IM,
EDP PL Equity,PTEDP0AM0009,EDP SA,Utilities,0.00232437,2559.576401,3.864,2019-12-31,EDP PL,EDP PL,EDP PL,EDP PL,10.9785371
HO FP Equity,FR0000121329,Thales SA,Industrials,0.00231684,106.552041,92.52,2019-12-31,HO FP,HO FP,HO FP,HO FP,10.28814063
FORTUM FH Equity,FI0009007132,Fortum Oyj,Utilities,0.00229641,444.147233,22.0,2019-12-31,FORTUM FH,FORTUM FH,FORTUM FH,FORTUM FH,10.84353929
HEI GY Equity,DE0006047004,Heidelberg Materials AG,Materials,0.00227187,148.812358,64.96,2019-12-31,HEI GY,HEI GY,HEI GR,HEI GR,11.34957487
CLNX SQ Equity,ES0105066007,Cellnex Telecom SA,Communication Services,0.00225891,250.49998,38.37,2019-12-31,CLNX SQ,CLNX SQ,CLNX SM,CLNX SM,11.71202674
SRG IM Equity,IT0003153415,Snam SpA,Utilities,0.0022432199999999,2036.90455,4.686,2019-12-31,SRG IM,SRG IM,SRG IM,SRG IM,12.51443798
AGS BB Equity,BE0974264930,Ageas SA/NV,Financials,0.00221041,178.536894,52.68,2019-12-31,AGS BB,AGS BB,AGS BB,AGS BB,11.50011201
KPN NA Equity,NL0000009082,Koninklijke KPN NV,Communication Services,0.00220893,3572.417743,2.631,2019-12-31,KPN NA,KPN NA,KPN NA,KPN NA,10.0715646
GRF SQ Equity,ES0171996087,Grifols SA,Health Care,0.00220335,298.290859,31.43,2019-12-31,GRF SQ,GRF SQ,GRF SM,GRF SM,19.57778878
SW FP Equity,FR0000121220,Sodexo SA,Consumer Discretionary,0.00219674,88.472932,105.65,2019-12-31,SW FP,SW FP,SW FP,SW FP,10.00530773
ACS SQ Equity,ES0167050915,ACS Actividades de Construccion y Servicios SA,Industrials,0.00219346,261.800942,35.65,2019-12-31,ACS SQ,ACS SQ,ACS SM,ACS SM,10.29703193
CA FP Equity,FR0000120172,Carrefour SA,Consumer Staples,0.00212725,605.449128,14.95,2019-12-31,CA FP,CA FP,CA FP,CA FP,12.1087435
UCB BB Equity,BE0003739530,UCB SA,Health Care,0.00210664,126.428678,70.9,2019-12-31,UCB BB,UCB BB,UCB BB,UCB BB,13.55416481
PUB FP Equity,FR0000130577,Publicis Groupe SA,Communication Services,0.00205198,216.332447,40.36,2019-12-31,PUB FP,PUB FP,PUB FP,PUB FP,15.67469307
HEN GY Equity,DE0006048408,Henkel AG & Co KGaA,Consumer Staples,0.0020515,103.91835,84.0,2019-12-31,HEN GY,HEN GY,HEN GR,HEN GR,
UMI BB Equity,BE0974320526,Umicore SA,Materials,0.00200872,197.12,43.36,2019-12-31,UMI BB,UMI BB,UMI BB,UMI BB,9.740900755
FLTR ID Equity,IE00BWT6H894,Flutter Entertainment PLC,Consumer Discretionary,0.00199161,78.212532,108.35,2019-12-31,FLTR ID,FLTR ID,FLTR ID,FLTR ID,
EN FP Equity,FR0000120503,Bouygues SA,Industrials,0.00198639,223.12834,37.88,2019-12-31,EN FP,EN FP,EN FP,EN FP,9.626494236
TRN IM Equity,IT0003242622,Terna - Rete Elettrica Nazionale,Utilities,0.0019688,1406.9944,5.954,2019-12-31,TRN IM,TRN IM,TRN IM,TRN IM,13.03873361
KSP ID Equity,IE0004927939,Kingspan Group PLC,Industrials,0.00196691,153.704774,54.45,2019-12-31,KSP ID,KSP ID,KSP ID,KSP ID,11.24739344
RNO FP Equity,FR0000131906,Renault SA,Consumer Discretionary,0.00190548,192.219485,42.18,2019-12-31,RNO FP,RNO FP,RNO FP,RNO FP,11.77996506
GLPG NA Equity,BE0003818359,Galapagos NV,Health Care,0.00190083,43.367682,186.5,2019-12-31,GLPG NA,GLPG NA,GLPG NA,GLPG NA,6.508049849
ALO FP Equity,FR0010220475,Alstom SA,Industrials,0.00189224,190.658728,42.23,2019-12-31,ALO FP,ALO FP,ALO FP,ALO FP,10.41342031
FGR FP Equity,FR0000130452,Eiffage SA,Industrials,0.00187938,78.4,102.0,2019-12-31,FGR FP,FGR FP,FGR FP,FGR FP,9.626494236
DHER GY Equity,DE000A2E4K43,Delivery Hero SE,Consumer Discretionary,0.00187825,113.265023,70.56,2019-12-31,DHER GY,DHER GY,DHER GR,DHER GR,8.495688018
RED SQ Equity,ES0173093024,Redeia Corp SA,Utilities,0.00182352,432.864,17.925,2019-12-31,RED SQ,RED SQ,RED SM,RED SM,13.01039182
SKG ID Equity,IE00B1RR8406,Smurfit Kappa Group PLC,Materials,0.00181862,225.868399,34.26,2019-12-31,SKG ID,SKG ID,SKG ID,SKG ID,
SOLB BB Equity,BE0003470755,Solvay SA,Materials,0.00179927,74.113491,103.3,2019-12-31,SOLB BB,SOLB BB,SOLB BB,SOLB BB,11.44364086
ADYEN NA Equity,NL0012969182,Adyen NV,Financials,0.0017818999999999,10.372112,731.0,2019-12-31,ADYEN NA,ADYEN NA,ADYEN NA,ADYEN NA,7.188218518
GBLB BB Equity,BE0003797140,Groupe Bruxelles Lambert NV,Financials,0.00178157,80.679144,93.96,2019-12-31,GBLB BB,GBLB BB,GBLB BB,GBLB BB,12.57657661
FR FP Equity,FR0013176526,Valeo SE,Consumer Discretionary,0.00177931,241.036743,31.41,2019-12-31,FR FP,FR FP,FR FP,FR FP,12.22393993
ELE SQ Equity,ES0130670112,Endesa SA,Utilities,0.00177586,317.625635,23.79,2019-12-31,ELE SQ,ELE SQ,ELE SM,ELE SM,13.26065166
STERV FH Equity,FI0009005961,Stora Enso Oyj,Materials,0.00177257,581.743637,12.965,2019-12-31,STERV FH,STERV FH,STERV FH,STERV FH,10.85632212
EXO IM Equity,NL0012059018,EXOR NV,Financials,0.00176068,108.45,69.08,2019-12-31,EXO IM,EXO IM,EXO IM,EXO IM,
BNR GY Equity,DE000A1DAHH0,Brenntag SE,Industrials,0.00176032,154.5,48.48,2019-12-31,BNR GY,BNR GY,BNR GR,BNR GR,11.21095779
GALP PL Equity,PTGAL0AM0009,Galp Energia SGPS SA,Energy,0.0017552899999999,501.261229,14.9,2019-12-31,GALP PL,GALP PL,GALP PL,GALP PL,10.75048232
OMV AV Equity,AT0000743059,OMV AG,Energy,0.0017333499999999,147.272727,50.08,2019-12-31,OMV AV,OMV AV,OMV AV,OMV AV,11.73272149
AC FP Equity,FR0000120404,Accor SA,Consumer Discretionary,0.00172229,175.52985,41.75,2019-12-31,AC FP,AC FP,AC FP,AC FP,13.4706181
AT1 GY Equity,LU1673108939,Aroundtown SA,Real Estate,0.00172191,917.680696,7.984,2019-12-31,AT1 GY,AT1 GY,AT1 GR,AT1 GR,11.26080139
ATO FP Equity,FR0000051732,Atos SE,Information Technology,0.00171653,98.275603,74.32,2019-12-31,ATO FP,ATO FP,ATO FP,ATO FP,7.430536072
GFC FP Equity,FR0010040865,Gecina SA,Real Estate,0.00171637,45.759295,159.6,2019-12-31,GFC FP,GFC FP,GFC FP,GFC FP,11.95850405
AGN NA Equity,BMG0112X1056,Aegon Ltd,Financials,0.00170259,1781.301007,4.067,2019-12-31,AGN NA,AGN NA,AGN NA,AGN NA,12.38613132
MONC IM Equity,IT0004965148,Moncler SpA,Consumer Discretionary,0.00170053,180.578667,40.07,2019-12-31,MONC IM,MONC IM,MONC IM,MONC IM,15.9091832
1COV GY Equity,DE0006062144,Covestro AG,Materials,0.00169355,173.85,41.45,2019-12-31,1COV GY,1COV GY,1COV GR,1COV GR,10.74004821
ELISA FH Equity,FI0009007884,Elisa Oyj,Communication Services,0.00164631,142.234812,49.25,2019-12-31,ELISA FH,ELISA FH,ELISA FH,ELISA FH,9.478951142
QIA GY Equity,NL0015002CX3,QIAGEN NV,Health Care,0.00162476,226.966,30.46,2019-12-31,QIA GY,QIA GY,QIA GR,QIA GR,12.6601106
ABN NA Equity,NL0011540547,ABN AMRO Bank NV,Financials,0.00161247,423.0,16.22,2019-12-31,ABN NA,ABN NA,ABN NA,ABN NA,8.921655177
BVI FP Equity,FR0006174348,Bureau Veritas SA,Industrials,0.00160584,293.760387,23.26,2019-12-31,BVI FP,BVI FP,BVI FP,BVI FP,14.07980125
GET FP Equity,FR0010533075,Getlink SE,Industrials,0.00160385,440.0,15.51,2019-12-31,GET FP,GET FP,GET FP,GET FP,9.540655401
SRT3 GY Equity,DE0007165631,Sartorius AG,Health Care,0.00159491,35.568,190.8,2019-12-31,SRT3 GY,SRT3 GY,SRT3 GR,SRT3 GR,
AER UN Equity,NL0000687663,AerCap Holdings NV,Industrials,0.0015817,122.942687,61.47,2019-12-31,AER UN,AER UN,AER UN,AER UN,
LI FP Equity,FR0000121964,Klepierre SA,Real Estate,0.00157505,197.986515,33.85,2019-12-31,LI FP,LI FP,LI FP,LI FP,13.35243086
NTGY SQ Equity,ES0116870314,Naturgy Energy Group SA,Utilities,0.00155424,295.236644,22.4,2019-12-31,NTGY SQ,NTGY SQ,NTGY SM,NTGY SM,13.01690176
AKE FP Equity,FR0010313833,Arkema SA,Materials,0.00153195,68.83282,94.7,2019-12-31,AKE FP,AKE FP,AKE FP,AKE FP,11.39472632
FBK IM Equity,IT0000072170,FinecoBank Banca Fineco SpA,Financials,0.00152979,608.9136,10.69,2019-12-31,FBK IM,FBK IM,FBK IM,FBK IM,11.75622492
RAND NA Equity,NL0000379121,Randstad NV,Industrials,0.00152441,119.147309,54.44,2019-12-31,RAND NA,RAND NA,RAND NA,RAND NA,12.56027248
SHL GY Equity,DE000SHL1006,Siemens Healthineers AG,Health Care,0.00150951,150.0,42.82,2019-12-31,SHL GY,SHL GY,SHL GR,SHL GR,12.54966307
WLN FP Equity,FR0011981968,Worldline SA/France,Financials,0.00149088,100.454587,63.15,2019-12-31,WLN FP,WLN FP,WLN FP,WLN FP,12.87016376
ZAL GY Equity,DE000ZAL1111,Zalando SE,Consumer Discretionary,0.00146994,138.437944,45.18,2019-12-31,ZAL GY,ZAL GY,ZAL GR,ZAL GR,11.12447904
MB IM Equity,IT0000062957,Mediobanca Banca di Credito Finanziario SpA,Financials,0.00143243,621.051324,9.814,2019-12-31,MB IM,MB IM,MB IM,MB IM,11.09612043
EDF FP Equity,FR0010242511,Electricite de France SA,Utilities,0.00142373,610.193925,9.928,2019-12-31,EDF FP,EDF FP,EDF FP,EDF FP,11.6376465
UN0 GY Equity,DE000UNSE026,Uniper SE,Utilities,0.0013959299999999,201.278,29.51,2019-12-31,UN0 GY,UN0 GY,UN0 GR,UN0 GR,10.56537825
SCR FP Equity,FR0010411983,SCOR SE,Financials,0.00139442,158.55932,37.42,2019-12-31,SCR FP,SCR FP,SCR FP,SCR FP,11.13214324
ING FP Equity,FR0000125346,Worldline Igsa SA,Information Technology,0.0013769799999999,60.527395,96.8,2019-12-31,ING FP,ING FP,ING FP,ING FP,12.87016376
SAB SQ Equity,ES0113860A34,Banco de Sabadell SA,Financials,0.00137533,5626.964701,1.04,2019-12-31,SAB SQ,SAB SQ,SAB SM,SAB SM,12.47389378
ERF FP Equity,FR0014000MR3,Eurofins Scientific SE,Health Care,0.00134222,11.556389,494.2,2019-12-31,ERF FP,ERF FP,ERF FP,ERF FP,8.264907128
PUM GY Equity,DE0006969603,Puma SE,Consumer Discretionary,0.00133252,82.953552,68.35,2019-12-31,PUM GY,PUM GY,PUM GR,PUM GR,11.15506326
ENG SQ Equity,ES0130960018,Enagas SA,Utilities,0.0013301399999999,248.89057,22.74,2019-12-31,ENG SQ,ENG SQ,ENG SM,ENG SM,13.3182052
VOW GY Equity,DE0007664005,Volkswagen AG,Consumer Discretionary,0.00132166,32.45988,173.25,2019-12-31,VOW GY,VOW GY,VOW GR,VOW GR,7.259031128
CBK GY Equity,DE000CBK1001,Commerzbank AG,Financials,0.0012990299999999,1001.886107,5.517,2019-12-31,CBK GY,CBK GY,CBK GR,CBK GR,8.128767262
PST IM Equity,IT0003796171,Poste Italiane SpA,Financials,0.00124257,522.444,10.12,2019-12-31,PST IM,PST IM,PST IM,PST IM,9.40771319
ADP FP Equity,FR0010340141,Aeroports de Paris SA,Industrials,0.00122869,29.688181,176.1,2019-12-31,ADP FP,ADP FP,ADP FP,ADP FP,11.42913194
UBI FP Equity,FR0000054470,Ubisoft Entertainment SA,Communication Services,0.00122314,84.515729,61.58,2019-12-31,UBI FP,UBI FP,UBI FP,UBI FP,11.80094786
PRY IM Equity,IT0004176001,Prysmian SpA,Industrials,0.00121884,241.329821,21.49,2019-12-31,PRY IM,PRY IM,PRY IM,PRY IM,11.86301457
TIT IM Equity,IT0003497168,Telecom Italia SpA/Milano,Communication Services,0.0011928099999999,9121.87355,0.5564,2019-12-31,TIT IM,TIT IM,TIT IM,TIT IM,10.32216373
EVK GY Equity,DE000EVNK013,Evonik Industries AG,Materials,0.00119199,186.4,27.21,2019-12-31,EVK GY,EVK GY,EVK GR,EVK GR,12.33999328
LXS GY Equity,DE0005470405,LANXESS AG,Materials,0.00116793,83.075459,59.82,2019-12-31,LXS GY,LXS GY,LXS GR,LXS GR,12.30461978
TKA GY Equity,DE0007500001,thyssenkrupp AG,Materials,0.00114499,404.645632,12.04,2019-12-31,TKA GY,TKA GY,TKA GR,TKA GR,10.03897977
COV FP Equity,FR0000064578,Covivio SA/France,Real Estate,0.0011399,47.927914,101.2,2019-12-31,COV FP,COV FP,COV FP,COV FP,15.66419286
TEN IM Equity,LU2598331598,Tenaris SA,Energy,0.0011153299999999,472.2148,10.05,2019-12-31,TEN IM,TEN IM,TEN IM,TEN IM,9.047814223
CPR IM Equity,NL0015435975,Davide Campari-Milano NV,Consumer Staples,0.00111109,580.8,8.14,2019-12-31,CPR IM,CPR IM,CPR IM,CPR IM,11.26300546
BIRG ID Equity,IE00BD1RP616,Bank of Ireland Group PLC,Financials,0.0011106,967.964052,4.882,2019-12-31,BIRG ID,BIRG ID,BIRG ID,BIRG ID,9.696515852
SEV FP Equity,FR0010613471,Vigie SA,Utilities,0.00108307,341.749418,13.485,2019-12-31,SEV FP,SEV FP,SEV FP,SEV FP,11.98368853
AFX GY Equity,DE0005313704,Carl Zeiss Meditec AG,Health Care,0.00107549,40.248257,113.7,2019-12-31,AFX GY,AFX GY,AFX GR,AFX GR,7.237985025
SESG FP Equity,LU0088087324,SES SA,Communication Services,0.00107016,364.28472,12.5,2019-12-31,SESG FP,SESG FP,SESG FP,SESG FP,9.429623995
G1A GY Equity,DE0006602006,GEA Group AG,Industrials,0.00106293,153.418346,29.48,2019-12-31,G1A GY,G1A GY,G1A GR,G1A GR,14.44319752
BKT SQ Equity,ES0113679I37,Bankinter SA,Financials,0.00103491,674.149616,6.532,2019-12-31,BKT SQ,BKT SQ,BKT SM,BKT SM,8.516959681
KBX GY Equity,DE000KBX1006,Knorr-Bremse AG,Industrials,0.00103141,48.36,90.75,2019-12-31,KBX GY,KBX GY,KBX GR,KBX GR,12.39505928
WRT1V FH Equity,FI0009003727,Wartsila OYJ Abp,Industrials,0.00102734,443.792543,9.85,2019-12-31,WRT1V FH,WRT1V FH,WRT1V FH,WRT1V FH,9.997953007
ORNBV FH Equity,FI0009014377,Orion Oyj,Health Care,0.00101294,104.436249,41.27,2019-12-31,ORNBV FH,ORNBV FH,ORNBV FH,ORNBV FH,8.068464416
AMUN FP Equity,FR0004125920,Amundi SA,Financials,0.00099406,60.511306,69.9,2019-12-31,AMUN FP,AMUN FP,AMUN FP,AMUN FP,11.91909124
LDO IM Equity,IT0003856405,Leonardo SpA,Industrials,0.0009939299999999,404.705277,10.45,2019-12-31,LDO IM,LDO IM,LDO IM,LDO IM,10.8505103
DIM FP Equity,FR0013154002,Sartorius Stedim Biotech,Health Care,0.0009599299999999,27.654057,147.7,2019-12-31,DIM FP,DIM FP,DIM FP,DIM FP,6.701745881
KGX GY Equity,DE000KGX8881,KION Group AG,Industrials,0.00093967,64.9495,61.56,2019-12-31,KGX GY,KGX GY,KGX GR,KGX GR,10.33088
REC IM Equity,IT0003828271,Recordati Industria Chimica e Farmaceutica SpA,Health Care,0.00092324,104.562578,37.57,2019-12-31,REC IM,REC IM,REC IM,REC IM,8.232233379
LHA GY Equity,DE0008232125,Deutsche Lufthansa AG,Industrials,0.00091636,237.605365,16.41,2019-12-31,LHA GY,LHA GY,LHA GR,LHA GR,9.114428088
PROX BB Equity,BE0003810273,Proximus SADP,Communication Services,0.00091231,152.111311,25.52,2019-12-31,PROX BB,PROX BB,PROX BB,PROX BB,10.76588
ATC NA Equity,NL0011333752,Altice Europe NV,Communication Services,0.00091152,674.761931,5.748,2019-12-31,ATC NA,ATC NA,ATC NA,ATC NA,
KN FP Equity,FR0000120685,Natixis SA,Financials,0.0008799,945.923545,3.958,2019-12-31,KN FP,KN FP,KN FP,KN FP,8.365293704
SGRE SQ Equity,ES0143416115,Siemens Gamesa Renewable Energy SA,Industrials,0.0008759999999999,238.400184,15.635,2019-12-31,SGRE SQ,SGRE SQ,SGRE SM,SGRE SM,15.83212244
NELES FH Equity,FI4000440664,Neles Oyj,Industrials,0.0008701399999999,105.243779,35.18,2019-12-31,NELES FH,NELES FH,NELES FH,NELES FH,
JMT PL Equity,PTJMT0AE0001,Jeronimo Martins SGPS SA,Consumer Staples,0.00086755,251.717288,14.665,2019-12-31,JMT PL,JMT PL,JMT PL,JMT PL,13.32359169
FRVIA FP Equity,FR0000121147,Forvia SE,Consumer Discretionary,0.00085697,75.919691,48.03,2019-12-31,FRVIA FP,FRVIA FP,FRVIA FP,FRVIA FP,12.15786921
UTDI GY Equity,DE0005089031,United Internet AG,Communication Services,0.0008464,123.0,29.28,2019-12-31,UTDI GY,UTDI GY,UTDI GR,UTDI GR,6.450454858
BOL FP Equity,FR0000039299,Bollore SE,Communication Services,0.00080567,881.263673,3.89,2019-12-31,BOL FP,BOL FP,BOL FP,BOL FP,6.304585248
VPK NA Equity,NL0009432491,Koninklijke Vopak NV,Energy,0.0007986,70.309487,48.33,2019-12-31,VPK NA,VPK NA,VPK NA,VPK NA,7.086187146
RBI AV Equity,AT0000606306,Raiffeisen Bank International AG,Financials,0.0007789,148.022829,22.39,2019-12-31,RBI AV,RBI AV,RBI AV,RBI AV,11.10491841
TITR IM Equity,IT0003497176,Telecom Italia SpA/Milano,Communication Services,0.0007732,6027.791699,0.5458,2019-12-31,TITR IM,TITR IM,TITR IM,TITR IM,
BIM FP Equity,FR0013280286,BioMerieux,Health Care,0.00077255,41.4267,79.35,2019-12-31,BIM FP,BIM FP,BIM FP,BIM FP,9.42846373
MF FP Equity,FR0000121204,Wendel SE,Financials,0.0007545799999999,27.094948,118.5,2019-12-31,MF FP,MF FP,MF FP,MF FP,14.21132113
TYRES FH Equity,FI0009005318,Nokian Renkaat Oyj,Consumer Discretionary,0.00075311,125.029575,25.63,2019-12-31,TYRES FH,TYRES FH,TYRES FH,TYRES FH,8.766903859
FRA GY Equity,DE0005773303,Fraport AG Frankfurt Airport Services Worldwide,Industrials,0.00074107,41.610917,75.78,2019-12-31,FRA GY,FRA GY,FRA GR,FRA GR,13.30984893
BMW3 GY Equity,DE0005190037,Bayerische Motoren Werke AG,Consumer Discretionary,0.00072615,56.126904,55.05,2019-12-31,BMW3 GY,BMW3 GY,BMW3 GR,BMW3 GR,
ILD FP Equity,FR0004035913,iliad SA,Communication Services,0.00072257,26.608028,115.55,2019-12-31,ILD FP,ILD FP,ILD FP,ILD FP,
FPE3 GY Equity,DE000A3E5D64,FUCHS SE,Materials,0.0007213,69.5,44.16,2019-12-31,FPE3 GY,FPE3 GY,FPE3 GR,FPE3 GR,
VER AV Equity,AT0000746409,Verbund AG,Utilities,0.00071598,68.093474,44.74,2019-12-31,VER AV,VER AV,VER AV,VER AV,12.13375879
CNP FP Equity,FR0000120222,CNP Assurances SACA,Financials,0.00071526,171.654619,17.73,2019-12-31,CNP FP,CNP FP,CNP FP,CNP FP,11.10958341
SK FP Equity,FR0000121709,SEB SA,Consumer Discretionary,0.00070442,22.638179,132.4,2019-12-31,SK FP,SK FP,SK FP,SK FP,11.11972874
IPN FP Equity,FR0010259150,Ipsen SA,Health Care,0.00070026,37.716537,79.0,2019-12-31,IPN FP,IPN FP,IPN FP,IPN FP,9.504445403
AM FP Equity,FR0014004L86,Dassault Aviation SA,Industrials,0.00068869,2.504611,1170.0,2019-12-31,AM FP,AM FP,AM FP,AM FP,7.462506813
ICAD FP Equity,FR0000035081,ICADE,Real Estate,0.00068002,29.814296,97.05,2019-12-31,ICAD FP,ICAD FP,ICAD FP,ICAD FP,13.85746069
VOE AV Equity,AT0000937503,voestalpine AG,Materials,0.00067807,116.056956,24.86,2019-12-31,VOE AV,VOE AV,VOE AV,VOE AV,8.188878793
HOT GY Equity,DE0006070006,HOCHTIEF AG,Industrials,0.00066072,24.726347,113.7,2019-12-31,HOT GY,HOT GY,HOT GR,HOT GR,11.65244119
ANDR AV Equity,AT0000730007,ANDRITZ AG,Industrials,0.00065699,72.8,38.4,2019-12-31,ANDR AV,ANDR AV,ANDR AV,ANDR AV,10.05115987
B4B GY Equity,DE000BFB0019,METRO AG,Consumer Staples,0.00060725,180.060868,14.35,2019-12-31,B4B GY,B4B GY,B4B GR,B4B GR,12.77151917
COLR BB Equity,BE0974256852,Colruyt Group N.V,Consumer Staples,0.00060321,55.220836,46.48,2019-12-31,COLR BB,COLR BB,COLR BB,COLR BB,11.38750261
MAP SQ Equity,ES0124244E34,Mapfre SA,Financials,0.00059782,1077.843646,2.36,2019-12-31,MAP SQ,MAP SQ,MAP SM,MAP SM,10.04664922
ETL FP Equity,FR0010221234,Eutelsat Communications SACA,Communication Services,0.00059452,174.580976,14.49,2019-12-31,ETL FP,ETL FP,ETL FP,ETL FP,10.85520155
AIBG ID Equity,IE00BF0L3536,AIB Group PLC,Financials,0.00059442,814.314371,3.106,2019-12-31,AIBG ID,AIBG ID,AIBG ID,AIBG ID,11.93287019
RCO FP Equity,FR0000130395,Remy Cointreau SA,Consumer Staples,0.00058076,22.567404,109.5,2019-12-31,RCO FP,RCO FP,RCO FP,RCO FP,8.802908383
RF FP Equity,FR0000121121,Eurazeo SE,Financials,0.00056441,39.369821,61.0,2019-12-31,RF FP,RF FP,RF FP,RF FP,13.51411056
DEC FP Equity,FR0000077919,JCDecaux SE,Communication Services,0.0005497599999999,85.125282,27.48,2019-12-31,DEC FP,DEC FP,DEC FP,DEC FP,11.73600382
BKIA SQ Equity,ES0113307062,Bankia SA,Financials,0.00054898,1227.808842,1.9025,2019-12-31,BKIA SQ,BKIA SQ,BKIA SM,BKIA SM,10.72810217
O2D GY Equity,DE000A1J5RX9,Telefonica Deutschland Holding AG,Communication Services,0.00054192,892.366498,2.584,2019-12-31,O2D GY,O2D GY,O2D GR,O2D GR,10.39840364
CO FP Equity,FR001400OKR3,Casino Guichard Perrachon SA,Consumer Staples,0.0005313,54.213115,41.7,2019-12-31,CO FP,CO FP,CO FP,CO FP,8.255364529
PIRC IM Equity,IT0005278236,Pirelli & C SpA,Consumer Discretionary,0.0004832,400.0,5.14,2019-12-31,PIRC IM,PIRC IM,PIRC IM,PIRC IM,12.5925982
TNET BB Equity,BE0003826436,Telenet Group Holding NV,Communication Services,0.00043587,46.296164,40.06,2019-12-31,TNET BB,TNET BB,TNET BB,TNET BB,8.311706235
ASML NA Equity,NL0010273215,ASML Holding NV,Information Technology,0.04057845,425.659415,397.55,2020-12-31,ASML NA,ASML NA,ASML NA,ASML NA,13.34239494
MC FP Equity,FR0000121014,LVMH Moet Hennessy Louis Vuitton SE,Consumer Discretionary,0.03401126,277.616536,510.9,2020-12-31,MC FP,MC FP,MC FP,MC FP,15.49269548
SAP GY Equity,DE0007164600,SAP SE,Information Technology,0.02684806,1044.228597,107.22,2020-12-31,SAP GY,SAP GY,SAP GR,SAP GR,12.13920004
SIE GY Equity,DE0007236101,Siemens AG,Industrials,0.02155831,765.0,117.52,2020-12-31,SIE GY,SIE GY,SIE GR,SIE GR,12.2903563
SAN FP Equity,FR0000120578,Sanofi SA,Health Care,0.02138271,1133.043249,78.7,2020-12-31,SAN FP,SAN FP,SAN FP,SAN FP,12.96085788
TTE FP Equity,FR0000120271,TotalEnergies SE,Energy,0.0213352299999999,2520.467824,35.3,2020-12-31,TTE FP,TTE FP,TTE FP,TTE FP,9.8405233
ALV GY Equity,DE0008404005,Allianz SE,Financials,0.02007728,417.172859,200.7,2020-12-31,ALV GY,ALV GY,ALV GR,ALV GR,12.51524897
OR FP Equity,FR0000120321,L'Oreal SA,Consumer Staples,0.01875699,251.675375,310.8,2020-12-31,OR FP,OR FP,OR FP,OR FP,11.13145546
IBE SQ Equity,ES0144580Y14,Iberdrola SA,Utilities,0.01692501,6032.55795,11.7,2020-12-31,IBE SQ,IBE SQ,IBE SM,IBE SM,10.53379258
ENEL IM Equity,IT0003128367,Enel SpA,Utilities,0.01614103,8133.343957,8.276,2020-12-31,ENEL IM,ENEL IM,ENEL IM,ENEL IM,11.39053013
SU FP Equity,FR0000121972,Schneider Electric SE,Industrials,0.01528218,538.715127,118.3,2020-12-31,SU FP,SU FP,SU FP,SU FP,14.55448734
AI FP Equity,FR0000120073,Air Liquide SA,Materials,0.01524351,473.509961,134.25,2020-12-31,AI FP,AI FP,AI FP,AI FP,9.466211463
BAS GY Equity,DE000BASF111,BASF SE,Materials,0.01425441,918.478694,64.72,2020-12-31,BAS GY,BAS GY,BAS GR,BAS GR,9.504436296
ADS GY Equity,DE000A1EWWW0,adidas AG,Consumer Discretionary,0.01360092,190.395377,297.9,2020-12-31,ADS GY,ADS GY,ADS GR,ADS GR,11.03421223
AIR FP Equity,NL0000235190,Airbus SE,Industrials,0.01266002,588.048561,89.78,2020-12-31,AIR FP,AIR FP,AIR FP,AIR FP,11.56071915
DTE GY Equity,DE0005557508,Deutsche Telekom AG,Communication Services,0.0119527,3333.021017,14.955,2020-12-31,DTE GY,DTE GY,DTE GR,DTE GR,10.69840454
