ticker,ID_ISIN,name,GICS_SECTOR_NAME,weight,shares,price,snapshot_date,ticker_bb,ticker_base,ticker_alt,merge_key,esg_score_raw
KBC BB Equity,BE0003565737,KBC Group NV,Financials,0.00299229,250.301648,58.72,2023-12-29,KBC BB,KBC BB,KBC BB,KBC BB,12.80863359
EDP PL Equity,PTEDP0AM0009,EDP SA,Utilities,0.00291003,3138.016218,4.555,2023-12-29,EDP PL,EDP PL,EDP PL,EDP PL,10.9785371
HO FP Equity,FR0000121329,Thales SA,Industrials,0.00286629,105.10507,133.95,2023-12-29,HO FP,HO FP,HO FP,HO FP,10.28814063
ACA FP Equity,FR0000045072,Credit Agricole SA,Financials,0.00279565,1068.458297,12.852,2023-12-29,ACA FP,ACA FP,ACA FP,ACA FP,13.05721631
BEI GY Equity,DE0005200000,Beiersdorf AG,Consumer Staples,0.0027848,100.8,135.7,2023-12-29,BEI GY,BEI GY,BEI GR,BEI GR,8.794176643
NESTE FH Equity,FI0009013296,Neste Oyj,Energy,0.0027743,423.066082,32.21,2023-12-29,NESTE FH,NESTE FH,NESTE FH,NESTE FH,12.71111532
EDEN FP Equity,FR0010908533,Edenred SE,Financials,0.00275103,249.588059,54.14,2023-12-29,EDEN FP,EDEN FP,EDEN FP,EDEN FP,11.06159564
AER UN Equity,NL0000687663,AerCap Holdings NV,Industrials,0.00273803,200.212178,74.32,2023-12-29,AER UN,AER UN,AER UN,AER UN,
SY1 GY Equity,DE000SYM9999,Symrise AG,Materials,0.00269359,132.783451,99.64,2023-12-29,SY1 GY,SY1 GY,SY1 GR,SY1 GR,9.393099434
MT NA Equity,LU1598757687,ArcelorMittal SA,Materials,0.0026746599999999,511.685863,25.675,2023-12-29,MT NA,MT NA,MT NA,MT NA,7.211210813
HNR1 GY Equity,DE0008402215,Hannover Rueck SE,Financials,0.00265532,60.298567,216.3,2023-12-29,HNR1 GY,HNR1 GY,HNR1 GR,HNR1 GR,10.14199007
AKZA NA Equity,NL0013267909,Akzo Nobel NV,Materials,0.00259859,170.594686,74.82,2023-12-29,AKZA NA,AKZA NA,AKZA NA,AKZA NA,10.88348608
EBS AV Equity,AT0000652011,Erste Group Bank AG,Financials,0.00257117,343.84,36.73,2023-12-29,EBS AV,EBS AV,EBS AV,EBS AV,10.59439338
KYGA ID Equity,IE0004906560,Kerry Group PLC,Consumer Staples,0.00255286,159.411461,78.66,2023-12-29,KYGA ID,KYGA ID,KYGA ID,KYGA ID,10.72783626
RHM GY Equity,DE0007030009,Rheinmetall AG,Industrials,0.00254514,43.55885,287.0,2023-12-29,RHM GY,RHM GY,RHM GR,RHM GR,10.39231276
CCEP UW Equity,GB00BDCPN049,Coca-Cola Europacific Partners PLC,Consumer Staples,0.00253576,206.480786,66.74,2023-12-29,CCEP UW,CCEP UW,CCEP UW,CCEP UW,
HEN3 GY Equity,DE0006048432,Henkel AG & Co KGaA,Consumer Staples,0.00251064,169.254731,72.86,2023-12-29,HEN3 GY,HEN3 GY,HEN3 GR,HEN3 GR,10.83617883
AENA SQ Equity,ES0105046009,Aena SME SA,Industrials,0.0025056699999999,75.0,164.1,2023-12-29,AENA SQ,AENA SQ,AENA SM,AENA SM,15.79571269
KSP ID Equity,IE0004927939,Kingspan Group PLC,Industrials,0.0024691599999999,154.695892,78.4,2023-12-29,KSP ID,KSP ID,KSP ID,KSP ID,11.24739344
FRE GY Equity,DE0005785604,Fresenius SE & Co KGaA,Health Care,0.00241407,422.427958,28.07,2023-12-29,FRE GY,FRE GY,FRE GR,FRE GR,13.9734559
BNR GY Equity,DE000A1DAHH0,Brenntag SE,Industrials,0.00235588,139.05,83.22,2023-12-29,BNR GY,BNR GY,BNR GR,BNR GR,11.21095779
MONC IM Equity,IT0004965148,Moncler SpA,Consumer Discretionary,0.00233569,205.970755,55.7,2023-12-29,MONC IM,MONC IM,MONC IM,MONC IM,15.9091832
CBK GY Equity,DE000CBK1001,Commerzbank AG,Financials,0.00230933,1054.18983,10.76,2023-12-29,CBK GY,CBK GY,CBK GR,CBK GR,8.128767262
HEI GY Equity,DE0006047004,Heidelberg Materials AG,Materials,0.00230104,139.639214,80.94,2023-12-29,HEI GY,HEI GY,HEI GR,HEI GR,11.34957487
